# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     0.516151   0.052406   0.946630   0.000964   0.000000   0.000000   0.27792E-02
     0.527705   0.050890   0.948075   0.001035   0.000000   0.000000   0.28371E-02
     0.539575   0.049374   0.949512   0.001113   0.000000   0.000000   0.28982E-02
     0.551779   0.047858   0.950941   0.001200   0.000000   0.000000   0.29629E-02
     0.564336   0.046343   0.952360   0.001297   0.000000   0.000000   0.30317E-02
     0.577266   0.044827   0.953768   0.001405   0.000000   0.000000   0.31050E-02
     0.590594   0.043311   0.955163   0.001526   0.000000   0.000000   0.31834E-02
     0.604343   0.041795   0.956544   0.001661   0.000000   0.000000   0.32675E-02
     0.618543   0.040279   0.957907   0.001814   0.000000   0.000000   0.33583E-02
     0.633222   0.038764   0.959250   0.001986   0.000000   0.000000   0.34567E-02
     0.648415   0.037248   0.960569   0.002183   0.000000   0.000000   0.35639E-02
     0.664159   0.035732   0.961861   0.002407   0.000000   0.000000   0.36811E-02
     0.680496   0.034216   0.963120   0.002664   0.000000   0.000000   0.38102E-02
     0.697472   0.032700   0.964339   0.002961   0.000000   0.000000   0.39531E-02
     0.715138   0.031185   0.965510   0.003305   0.000000   0.000000   0.41126E-02
     0.733554   0.029669   0.966623   0.003708   0.000000   0.000000   0.42919E-02
     0.752786   0.028153   0.967666   0.004181   0.000000   0.000000   0.44951E-02
     0.772910   0.026637   0.968621   0.004742   0.000000   0.000000   0.47276E-02
     0.794013   0.025121   0.969467   0.005412   0.000000   0.000000   0.49960E-02
     0.816194   0.023606   0.970175   0.006219   0.000000   0.000000   0.53095E-02
     0.839569   0.022090   0.970707   0.007203   0.000000   0.000000   0.56802E-02
     0.864277   0.020574   0.971012   0.008414   0.000000   0.000000   0.61243E-02
     0.890476   0.019058   0.971018   0.009924   0.000000   0.000000   0.66642E-02
     0.918359   0.017543   0.970626   0.011832   0.000000   0.000000   0.73310E-02
     0.948158   0.016027   0.969692   0.014282   0.000000   0.000000   0.81693E-02
     0.980156   0.014511   0.968006   0.017483   0.000000   0.000000   0.92435E-02
     1.014704   0.012995   0.965255   0.021750   0.000000   0.000000   0.10648E-01
     1.052245   0.011479   0.960951   0.027569   0.000000   0.000000   0.12523E-01
     1.093348   0.009963   0.954321   0.035716   0.000000   0.000000   0.15078E-01
     1.138762   0.008446   0.944091   0.047463   0.000000   0.000000   0.18622E-01
     1.189502   0.006924   0.928103   0.064973   0.000000   0.000000   0.27254E-01
     1.246989   0.005375   0.902602   0.092023   0.000000  -0.137358   0.39968E-01
     1.289827   0.004171   0.874190   0.121639   0.000000   0.000000   0.40380E-01
     1.325962   0.003229   0.847246   0.149526   0.000000   0.572748   0.39558E-01
     1.369384   0.002199   0.815954   0.181847   0.000000   0.638724   0.44650E-01
     1.413139   0.000981   0.780596   0.218423   0.000000   0.691626   0.49527E-01
     1.457217   0.000000   0.741246   0.258754   0.000000   0.725565   0.53982E-01
     1.501611   0.000000   0.697932   0.302068   0.000000   0.736801   0.58037E-01
     1.546311   0.000000   0.652531   0.347469   0.000000   0.725416   0.61826E-01
     1.591308   0.000000   0.605836   0.394164   0.000000   0.696092   0.65569E-01
     1.636593   0.000000   0.558291   0.441709   0.000000   0.656454   0.69694E-01
     1.682158   0.000000   0.509829   0.490171   0.000000   0.615246   0.74687E-01
     1.727995   0.000000   0.459888   0.540112   0.000000   0.580335   0.80912E-01
     1.774095   0.000000   0.407726   0.592274   0.000000   0.556659   0.88352E-01
     1.820452   0.000000   0.352998   0.647002   0.000000   0.544326   0.96418E-01
     1.867058   0.000000   0.296438   0.703562   0.000000   0.537437   0.10398E+00
     1.913907   0.000000   0.240182   0.759818   0.000000   0.525178   0.10981E+00
     1.960991   0.000000   0.187331   0.812669   0.000000   0.496337   0.11319E+00
     2.008302   0.000000   0.140868   0.859132   0.000000   0.445388   0.11434E+00
     2.055830   0.000000   0.102617   0.897383   0.000000   0.375838   0.11427E+00
